"state","date","population.density","stay.home.ind","mask.ind","holiday.ind","incremental.cases_contracted"
"Hawaii","2020-06-27","129.94",0,0,0,"42"
"Hawaii","2020-06-28","129.94",0,0,0,"20"
"Hawaii","2020-06-29","129.94",0,0,0,"21"
"Hawaii","2020-06-30","129.94",0,0,0,"21"
"Hawaii","2020-07-01","129.94",0,0,0,"28"
"Hawaii","2020-07-02","129.94",0,0,0,"19"
"Hawaii","2020-07-03","129.94",0,0,0,"22"
"Hawaii","2020-07-04","129.94",0,0,1,"20"
"Hawaii","2020-07-05","129.94",0,0,0,"27"
"Hawaii","2020-07-06","129.94",0,0,0,"12"
"Hawaii","2020-07-07","129.94",0,0,0,"25"
"Hawaii","2020-07-08","129.94",0,0,0,"17"
"Hawaii","2020-07-09","129.94",0,0,0,"55"
"Hawaii","2020-07-10","129.94",0,0,0,"58"
"Hawaii","2020-07-11","129.94",0,0,0,"71"
"Hawaii","2020-07-12","129.94",0,0,0,"63"
"Hawaii","2020-07-13","129.94",0,0,0,"28"
"Hawaii","2020-07-14","129.94",0,0,0,"46"
"Hawaii","2020-07-15","129.94",0,0,0,"108"
"Hawaii","2020-07-16","129.94",0,0,0,"124"
"Hawaii","2020-07-17","129.94",0,0,0,"122"
"Hawaii","2020-07-18","129.94",0,0,0,"86"
"Hawaii","2020-07-19","129.94",0,0,0,"45"
"Hawaii","2020-07-20","129.94",0,0,0,"206"
"Hawaii","2020-07-21","129.94",0,0,0,"143"
"Hawaii","2020-07-22","129.94",0,0,0,"172"
"Hawaii","2020-07-23","129.94",0,0,0,"151"
"Hawaii","2020-07-24","129.94",0,0,0,"201"
"Hawaii","2020-07-25","129.94",0,0,0,"231"
"Hawaii","2020-07-26","129.94",0,0,0,"152"
"Hawaii","2020-07-27","129.94",0,0,0,"140"
"Hawaii","2020-07-28","129.94",0,0,0,"118"
"Hawaii","2020-07-29","129.94",0,0,0,"202"
"Hawaii","2020-07-30","129.94",0,0,0,"354"
"Hawaii","2020-07-31","129.94",0,0,0,"231"
"Hawaii","2020-08-01","129.94",0,0,0,"282"
"Hawaii","2020-08-02","129.94",0,0,0,"217"
"Hawaii","2020-08-03","129.94",0,0,0,"173"
"Hawaii","2020-08-04","129.94",0,0,0,"134"
"Hawaii","2020-08-05","129.94",0,0,0,"260"
"Hawaii","2020-08-06","129.94",0,0,0,"235"
"Hawaii","2020-08-07","129.94",0,0,0,"228"
"Hawaii","2020-08-08","129.94",0,0,0,"284"
"Hawaii","2020-08-09","129.94",0,0,0,"244"
"Hawaii","2020-08-10","129.94",0,0,0,"169"
"Hawaii","2020-08-11","129.94",0,0,0,"215"
"Hawaii","2020-08-12","129.94",0,0,0,"275"
"Hawaii","2020-08-13","129.94",0,0,0,"306"
"Hawaii","2020-08-14","129.94",0,0,0,"264"
"Hawaii","2020-08-15","129.94",0,0,0,"309"
"Hawaii","2020-08-16","129.94",0,0,0,"200"
"Hawaii","2020-08-17","129.94",0,0,0,"132"
"Hawaii","2020-08-18","129.94",0,0,0,"181"
"Hawaii","2020-08-19","129.94",0,0,0,"338"
"Hawaii","2020-08-20","129.94",0,0,0,"211"
"Hawaii","2020-08-21","129.94",0,0,0,"271"
"Hawaii","2020-08-22","129.94",0,0,0,"219"
"Hawaii","2020-08-23","129.94",0,0,0,"162"
"Hawaii","2020-08-24","129.94",0,0,0,"104"
"Hawaii","2020-08-25","129.94",0,0,0,"197"
"Hawaii","2020-08-26","129.94",0,0,0,"98"
"Hawaii","2020-08-27","129.94",0,0,0,"169"
"Hawaii","2020-08-28","129.94",0,0,0,"170"
"Hawaii","2020-08-29","129.94",0,0,0,"129"
"Hawaii","2020-08-30","129.94",0,0,0,"112"
"Hawaii","2020-08-31","129.94",0,0,0,"79"
"Hawaii","2020-09-01","129.94",0,0,0,"64"
"Hawaii","2020-09-02","129.94",0,0,0,"101"
"Hawaii","2020-09-03","129.94",0,0,0,"159"
"Hawaii","2020-09-04","129.94",0,0,0,"137"
"Hawaii","2020-09-05","129.94",0,0,0,"109"
"Hawaii","2020-09-06","129.94",0,0,0,"77"
"Hawaii","2020-09-07","129.94",0,0,1,"56"
"Hawaii","2020-09-08","129.94",0,0,0,"63"
"Hawaii","2020-09-09","129.94",0,0,0,"167"
"Hawaii","2020-09-10","129.94",0,0,0,"88"
"Hawaii","2020-09-11","129.94",0,0,0,"131"
"Hawaii","2020-09-12","129.94",0,0,0,"127"
"Hawaii","2020-09-13","129.94",0,0,0,"98"
"Hawaii","2020-09-14","129.94",0,0,0,"87"
"Hawaii","2020-09-15","129.94",0,0,0,"85"
"Hawaii","2020-09-16","129.94",0,0,0,"119"
"Hawaii","2020-09-17","129.94",0,0,0,"105"
"Hawaii","2020-09-18","129.94",0,0,0,"94"
"Hawaii","2020-09-19","129.94",0,0,0,"133"
"Hawaii","2020-09-20","129.94",0,0,0,"70"
"Hawaii","2020-09-21","129.94",0,0,0,"50"
"Hawaii","2020-09-22","129.94",0,0,0,"83"
"Hawaii","2020-09-23","129.94",0,0,0,"106"
"Hawaii","2020-09-24","129.94",0,0,0,"101"
"Hawaii","2020-09-25","129.94",0,0,0,"164"
"Hawaii","2020-09-26","129.94",0,0,0,"71"
"Hawaii","2020-09-27","129.94",0,0,0,"101"
"Hawaii","2020-09-28","129.94",0,0,0,"42"
"Hawaii","2020-09-29","129.94",0,0,0,"61"
"Hawaii","2020-09-30","129.94",0,0,0,"98"
"Hawaii","2020-10-01","129.94",0,0,0,"88"
"Hawaii","2020-10-02","129.94",0,0,0,"85"
"Hawaii","2020-10-03","129.94",0,0,0,"94"
"Hawaii","2020-10-04","129.94",0,0,0,"82"
"Hawaii","2020-10-05","129.94",0,0,0,"35"
"Hawaii","2020-10-06","129.94",0,0,0,"84"
"Hawaii","2020-10-07","129.94",0,0,0,"77"
"Hawaii","2020-10-08","129.94",0,0,0,"99"
"Hawaii","2020-10-09","129.94",0,0,0,"139"
"Hawaii","2020-10-10","129.94",0,0,0,"89"
"Hawaii","2020-10-11","129.94",0,0,0,"117"
"Hawaii","2020-10-12","129.94",0,0,0,"35"
"Hawaii","2020-10-13","129.94",0,0,0,"62"
"Hawaii","2020-10-14","129.94",0,0,0,"55"
"Hawaii","2020-10-15","129.94",0,0,0,"71"
"Hawaii","2020-10-16","129.94",0,0,0,"99"
"Hawaii","2020-10-17","129.94",0,0,0,"62"
"Hawaii","2020-10-18","129.94",0,0,0,"80"
"Hawaii","2020-10-19","129.94",0,0,0,"72"
"Hawaii","2020-10-20","129.94",0,0,0,"82"
"Hawaii","2020-10-21","129.94",0,0,0,"150"
"Hawaii","2020-10-22","129.94",0,0,0,"92"
"Hawaii","2020-10-23","129.94",0,0,0,"133"
"Hawaii","2020-10-24","129.94",0,0,0,"123"
"Hawaii","2020-10-25","129.94",0,0,0,"127"
"Hawaii","2020-10-26","129.94",0,0,0,"58"
"Hawaii","2020-10-27","129.94",0,0,0,"69"
"Hawaii","2020-10-28","129.94",0,0,0,"116"
"Hawaii","2020-10-29","129.94",0,0,0,"94"
"Hawaii","2020-10-30","129.94",0,0,0,"111"
"Hawaii","2020-10-31","129.94",0,0,1,"105"
"Hawaii","2020-11-01","129.94",0,0,0,NA
"Hawaii","2020-11-02","129.94",0,0,0,"92"
"Hawaii","2020-11-03","129.94",0,0,0,"44"
"Hawaii","2020-11-04","129.94",0,0,0,"62"
"Hawaii","2020-11-05","129.94",0,0,0,"100"
"Hawaii","2020-11-06","129.94",0,0,0,"112"
"Hawaii","2020-11-07","129.94",0,0,0,"153"
"Hawaii","2020-11-08","129.94",0,0,0,"120"
"Hawaii","2020-11-09","129.94",0,0,0,"103"
"Hawaii","2020-11-10","129.94",0,0,0,"56"
"Hawaii","2020-11-11","129.94",0,0,1,"100"
"Hawaii","2020-11-12","129.94",0,0,0,"117"
"Hawaii","2020-11-13","129.94",0,0,0,"118"
"Hawaii","2020-11-14","129.94",0,0,0,"75"
"Hawaii","2020-11-15","129.94",0,0,0,"54"
"Hawaii","2020-11-16","129.94",0,0,0,"81"
"Hawaii","2020-11-17","129.94",0,0,0,"43"
"Hawaii","2020-11-18","129.94",0,0,0,"68"
"Hawaii","2020-11-19","129.94",0,0,0,"139"
"Hawaii","2020-11-20","129.94",0,0,0,"117"
"Hawaii","2020-11-21","129.94",0,0,0,"111"
"Hawaii","2020-11-22","129.94",0,0,0,"97"
"Hawaii","2020-11-23","129.94",0,0,0,"78"
"Hawaii","2020-11-24","129.94",0,0,0,"53"
"Hawaii","2020-11-25","129.94",0,0,0,"73"
"Hawaii","2020-11-26","129.94",0,0,1,"116"
"Hawaii","2020-11-27","129.94",0,0,0,"128"
"Hawaii","2020-11-28","129.94",0,0,0,"196"
"Hawaii","2020-11-29","129.94",0,0,0,"77"
"Hawaii","2020-11-30","129.94",0,0,0,"187"
"Hawaii","2020-12-01","129.94",0,0,0,"52"
